SMZ,State,Percent TEA,Percent PFA,Old METRO,New METRO,Balt METRO,New Balt,Existing Light Rail,New Light Rail,Existing Commuter Rail,New Commuter Rail,New Interchanges,Accessibility,Town,Town_adjacent
1,24,0,100.0000001,0,0,0,0,0,0,0,0,0,181.695067,0,0
2,24,0,99.99986663,0,0,0,0,1,0,0,0,0,172.287443,0,0
3,24,0,100.0000003,0,0,0,0,1,0,0,0,0,2212.021599,0,0
4,24,0,100.0000041,0,0,0,0,0,1,0,0,0,338.093697,0,0
5,24,0,100.0000002,0,0,0,0,0,1,0,0,0,188.5422,0,0
6,24,0,99.99945687,0,0,0,0,1,0,0,0,0,37.126665,0,0
7,24,0,99.99999952,0,0,0,0,0,0,0,0,0,857.329285,0,0
8,24,0,100.0000005,0,0,0,0,0,0,0,0,0,88.096619,0,0
9,24,0,100.0000007,0,0,0,0,0,0,0,0,0,19.019462,0,0
10,24,0,99.99993504,0,0,0,0,0,1,0,0,0,68.66821,0,0
11,24,0,100.0000002,0,0,0,0,0,1,0,0,0,273.469364,0,0
12,24,0,99.99999956,0,0,0,1,0,0,0,0,0,213.420566,0,0
13,24,0,100.0000005,0,0,0,1,0,0,0,0,0,134.396106,0,0
14,24,0,99.99999919,0,0,0,1,0,0,0,0,0,153.317326,0,0
15,24,0,100.0000006,0,0,0,1,0,0,0,0,0,11.296309,0,0
16,24,0,99.99999957,0,0,0,1,0,0,0,0,0,12.692323,0,0
17,24,0,100.0000006,0,0,0,1,0,0,0,0,0,34.988608,0,0
18,24,0,99.99999974,0,0,0,0,0,0,0,0,0,7.033039,0,0
19,24,0,99.99999966,0,0,0,0,0,0,0,0,0,18.170769,0,0
20,24,0,100.0000008,0,0,1,0,0,0,0,0,0,712.796272,0,0
21,24,0,100.0000003,0,0,1,0,0,0,0,0,0,1154.516788,0,0
22,24,0,100.0000007,0,0,0,0,0,0,0,0,0,14.292902,0,0
23,24,0,99.99999867,0,0,1,0,0,0,0,0,0,2136.97441,0,0
24,24,0,100.0000003,0,0,0,0,0,0,0,0,0,99.088541,0,0
25,24,0,99.9999998,0,0,0,0,0,0,0,0,0,4700.546272,0,0
26,24,0,99.99999935,0,0,1,0,0,0,0,0,0,12598.11555,0,0
27,24,0,100.0000005,0,0,0,0,0,0,0,0,0,1330.93997,0,0
28,24,0,99.99999906,0,0,0,0,0,0,0,0,0,283.689792,0,0
29,24,0,99.9999983,0,0,0,0,1,0,0,0,0,2792.258103,0,0
30,24,0,99.99999973,0,0,0,1,0,0,0,0,0,904.012025,0,0
31,24,0,99.99999991,0,0,0,1,0,0,0,0,0,625.575242,0,0
32,24,0,100.0000003,0,0,0,0,0,1,0,0,0,5788.144572,0,0
33,24,0,99.9999981,0,0,0,0,0,1,0,0,0,13822.60531,0,0
34,24,0,99.99999883,0,0,0,0,1,0,0,0,0,1643.865037,0,0
35,24,0,100,0,0,0,0,0,0,0,0,0,178.728045,0,0
36,24,0,100,0,0,0,0,0,0,0,0,0,65.121293,0,0
37,24,0,99.9999965,0,0,0,0,0,0,0,0,0,86.130541,0,0
38,24,0,100.0000008,0,0,0,1,0,0,0,0,0,42.147845,0,0
39,24,0,99.99999991,0,0,0,0,0,0,0,0,0,93.734406,0,0
40,24,0,100.0000016,0,0,0,0,0,0,0,0,0,260.657615,0,0
41,24,0,100.0000014,0,0,0,0,0,0,0,0,0,76.336062,0,0
42,24,0,99.99999809,0,0,0,0,0,0,0,0,0,516.302839,0,0
43,24,0,99.99999886,0,0,0,0,0,0,0,0,0,4264.193935,0,0
44,24,0,100.0000002,0,0,0,0,0,0,0,0,0,1545.222057,0,0
45,24,0,100.0000003,0,0,0,0,0,1,0,0,0,6075.913213,0,0
46,24,0,100.0000003,0,0,0,0,0,1,0,0,0,390.53017,0,0
47,24,0,100.0000002,0,0,0,0,0,1,0,0,0,1443.460644,0,0
48,24,0,99.99999796,0,0,0,1,0,1,1,0,0,2579.874002,0,0
49,24,0,99.99999951,0,0,0,0,0,0,0,0,0,58.493763,0,0
50,24,0,99.99999795,0,0,0,1,0,1,1,0,0,14617.13764,0,0
51,24,0,100.0000023,0,0,0,0,0,0,0,0,0,871.851941,0,0
52,24,0,100.0000025,0,0,1,0,1,0,0,0,0,8144.113579,0,0
53,24,0,99.99999671,0,0,1,1,1,0,0,0,0,13365.22325,0,0
54,24,0,100.000003,0,0,1,0,0,0,0,0,0,62514.71127,0,0
55,24,0,99.99999988,0,0,1,0,0,0,0,0,0,20782.13368,0,0
56,24,0,100.0000017,0,0,0,1,0,1,0,0,0,1700.288175,0,0
57,24,0,100.0000002,0,0,1,0,0,0,0,0,0,32352.38412,0,0
58,24,0,100.0000008,0,0,0,0,0,1,0,0,0,81626.95631,0,0
59,24,0,99.99999677,0,0,0,0,0,1,0,0,0,27477.3858,0,0
60,24,0,100.0000042,0,0,0,0,0,0,0,0,0,3957.328199,0,0
61,24,0,99.99999719,0,0,0,0,0,0,0,0,0,386660.1884,0,0
62,24,0,99.9999997,0,0,1,0,1,1,0,0,0,152745.5186,0,0
63,24,0,99.7102526,0,0,1,0,0,1,0,0,0,301720.8372,0,0
64,24,0,100.0000011,0,0,1,0,0,1,0,0,0,794210.8688,0,0
65,24,0,99.99999922,0,0,1,0,1,1,0,0,0,588749.0722,0,0
66,24,0,100.0000025,0,0,0,0,0,0,0,0,0,280753.5568,0,0
67,24,0,100.0000014,0,0,0,1,1,1,1,0,0,69961.65795,0,0
68,24,0,98.65560697,0,0,0,1,0,0,0,0,0,218191.7559,0,0
69,24,0,99.99999539,0,0,0,1,1,1,1,0,0,355190.0979,0,0
70,24,0,99.99999862,0,0,1,0,0,0,0,0,0,19886.49119,0,0
71,24,0,99.53339346,0,0,1,0,0,1,0,0,0,102063.9932,0,0
72,24,0,100.0000009,0,0,0,0,0,0,0,0,0,63251.48198,0,0
73,24,0,100.0000027,0,0,1,0,0,0,0,0,0,25501.48899,0,0
74,24,0,99.99999953,0,0,0,1,0,0,0,0,0,15628.13435,0,0
75,24,0,99.99999776,0,0,0,0,0,0,0,0,0,891.553472,0,0
76,24,0,100,0,0,0,1,0,0,0,0,0,801.905944,0,0
77,24,0,100.0000042,0,0,0,1,0,0,0,0,0,6383.239329,0,0
