State,Region,Subregion,County Name,FIPS,Start SMZ,End SMZ
MD,Baltimore,Core,Baltimore City,24510,1,110
MD,Baltimore,Inner,Anne Arundel County,24003,111,217
MD,Baltimore,Inner,Baltimore County,24005,218,405
MD,Baltimore,Outer,Carroll County,24013,406,453
MD,Baltimore,Outer,Harford County,24025,454,524
MD,Baltimore,Inner,Howard County,24027,525,599
MD,Washington,Inner,Montgomery County,24031,609,766
MD,Washington,Inner,Prince George's County,24033,767,943
MD,Washington,Outer,Frederick County,24021,944,966
MD,Southern,,Calvert County,24009,967,976
MD,Southern,,St. Mary's County,24037,977,991
MD,Washington,Outer,Charles County,24017,992,1009
MD,Western,,Allegany County,24001,1019,1039
MD,Western,,Gerrett County,24023,1040,1053
MD,Western,,Washington County,24043,1054,1083
MD,Eastern,,Carloine County,24011,1093,1099
MD,Eastern,,Cecil County,24015,1100,1115
MD,Eastern,,Dorchester County,24019,1116,1124
MD,Eastern,,Kent County,24029,1125,1129
MD,Eastern,,Queene Anne's County,24035,1130,1139
MD,Eastern,,Somerset County,24039,1140,1146
MD,Eastern,,Talbot County,24041,1147,1154
MD,Eastern,,Wicomico County,24045,1155,1167
MD,Eastern,,Worcester County,24047,1168,1178
DC,Washington,Core,District of Columbia,11001,1188,1271
VA,Washington,Core,Arlington County,51013,1281,1301
VA,Washington,Core,Alexandria City,51510,1302,1307
VA,Washington,Inner,Fairfax County,51059,1308,1355
VA,Washington,Outer,Loudoun County,51107,1356,1377
VA,Washington,Outer,Prince William County,51153,1378,1397
VA,Washington,Outer,King George County,51099,1398,1402
VA,Washington,Outer,Stafford County,51179,1403,1411
VA,Washington,Outer,Spotsylvania County,51177,1412,1415
VA,Washington,Outer,Fauquier County,51061,1416,1425
VA,Lower VA,,Clarke County,51043,1426,1428
VA,Lower VA,,"Frederick County, VA",51069,1438,1442
VA,Lower VA,,Northumberland County,51133,1443,1445
VA,Lower VA,,Westmoreland County,51193,1446,1449
VA,Lower VA,,Accomack County,51001,1450,1457
VA,Lower VA,,Northampton County,51131,1458,1460
WV,West Virginia,,Jefferson County,54037,1470,1473
WV,West Virginia,,Berkeley County,54003,1474,1478
WV,West Virginia,,Grant County,54023,1479,1481
WV,West Virginia,,Hampshire County,54027,1482,1484
WV,West Virginia,,Mineral County,54057,1485,1488
WV,West Virginia,,Morgan County,54065,1489,1491
WV,West Virginia,,Preston County,54077,1492,1496
WV,West Virginia,,Tucker County,54093,1497,1499
DE,Delaware,,New Castle County,10003,1509,1543
DE,Delaware,,Kent County,10001,1544,1569
DE,Delaware,,Sussex County,10005,1570,1605
PA,Pennsylvania,,"Somerset County, PA",42111,1615,1618
PA,Pennsylvania,,Bedford County,42009,1619,1622
PA,Pennsylvania,,Fulton County,42057,1623,1624
PA,Pennsylvania,,Franklin County,42055,1625,1628
PA,Pennsylvania,,Adams County,42001,1629,1633
PA,Pennsylvania,,Chester County,42029,1634,1645
PA,Pennsylvania,,Fayette County,42051,1651,1657
PA,Pennsylvania,,Lancaster County,42071,1658,1666
PA,Pennsylvania,,York County,42133,1667,1674
